,target
GSM726185,0.0
GSM726186,1.0
GSM726187,0.0
GSM726188,0.0
GSM726189,1.0
GSM726190,1.0
GSM726191,0.0
GSM726192,1.0
GSM726193,1.0
GSM726194,0.0
GSM726195,0.0
GSM726196,1.0
GSM726197,1.0
GSM726198,0.0
GSM726199,0.0
GSM726200,1.0
GSM726201,0.0
GSM726202,1.0
GSM726203,0.0
GSM726204,1.0
GSM726205,1.0
GSM726206,0.0
GSM726207,1.0
GSM726208,0.0
GSM726209,1.0
GSM726210,0.0
GSM726211,1.0
GSM726212,0.0
GSM726213,1.0
GSM726214,1.0
GSM726215,1.0
GSM726216,1.0
GSM726217,0.0
GSM726218,1.0
GSM726219,1.0
GSM726220,0.0
GSM726221,1.0
GSM726222,0.0
GSM726223,1.0
GSM726224,1.0
GSM726225,1.0
GSM726226,0.0
GSM726227,0.0
GSM726228,0.0
GSM726229,1.0
GSM726230,0.0
GSM726231,1.0
GSM726232,0.0
GSM726233,0.0
GSM726234,0.0
GSM726235,1.0
GSM726236,1.0
GSM726237,1.0
GSM726238,0.0
GSM726239,1.0
GSM726240,1.0
GSM726241,1.0
GSM726242,0.0
GSM726243,0.0
GSM726244,0.0
GSM726245,1.0
GSM726246,0.0
GSM726247,0.0
GSM726248,1.0
GSM726249,0.0
GSM726250,0.0
GSM726251,0.0
GSM726252,0.0
GSM726253,1.0
GSM726254,1.0
GSM726255,1.0
GSM726256,1.0
GSM726257,1.0
GSM726258,1.0
GSM726259,1.0
GSM726260,1.0
GSM726261,1.0
GSM726262,0.0
GSM158711,0.0
GSM158712,0.0
GSM158713,1.0
GSM158714,1.0
GSM158715,0.0
GSM158716,0.0
GSM158717,0.0
GSM158718,0.0
GSM158719,0.0
GSM158720,1.0
GSM158721,0.0
GSM158722,1.0
GSM158723,1.0
GSM158724,1.0
GSM158725,1.0
GSM158726,1.0
GSM158727,0.0
GSM158728,1.0
GSM158729,1.0
GSM158730,1.0
GSM158731,1.0
GSM158732,0.0
GSM158733,0.0
GSM158734,0.0
GSM158735,1.0
GSM158736,1.0
GSM158737,0.0
GSM158738,1.0
GSM158739,1.0
GSM158740,1.0
GSM158741,0.0
GSM158742,1.0
GSM158743,1.0
GSM158744,0.0
GSM158745,0.0
GSM158746,1.0
GSM158747,0.0
GSM158748,1.0
GSM158749,1.0
GSM158750,0.0
GSM158751,0.0
GSM158752,1.0
GSM158753,0.0
GSM158754,1.0
GSM158755,1.0
GSM158756,1.0
GSM158757,0.0
GSM158758,1.0
GSM158759,0.0
GSM158760,0.0
GSM158761,1.0
GSM158762,1.0
GSM158763,1.0
GSM158764,1.0
GSM158765,1.0
GSM158766,0.0
GSM158767,1.0
GSM158768,1.0
GSM158769,1.0
GSM158770,0.0
GSM158771,0.0
GSM158772,0.0
GSM158773,0.0
GSM158774,1.0
GSM158775,0.0
GSM158776,1.0
GSM158777,0.0
GSM158778,0.0
GSM158779,0.0
GSM158780,1.0
GSM158781,0.0
GSM158782,1.0
GSM158783,1.0
GSM158784,1.0
GSM158785,1.0
GSM158786,0.0
GSM158787,1.0
GSM158788,0.0
GSM158789,1.0
GSM158790,0.0
GSM158791,0.0
GSM158792,0.0
GSM158793,0.0
GSM158794,0.0
GSM158795,1.0
GSM158796,1.0
GSM158797,0.0
GSM158798,0.0
GSM158799,0.0
GSM158800,0.0
GSM158801,1.0
GSM158802,0.0
GSM158803,0.0
GSM158804,0.0
GSM158805,0.0
GSM158806,0.0
GSM158807,0.0
GSM158808,0.0
GSM158809,1.0
GSM158810,0.0
GSM158811,1.0
GSM158812,1.0
GSM158813,1.0
GSM158814,0.0
GSM158815,0.0
GSM158816,0.0
GSM158817,1.0
GSM158818,1.0
GSM158819,0.0
GSM158820,1.0
GSM158821,1.0
GSM158822,1.0
GSM158823,1.0
GSM158824,0.0
GSM158825,0.0
GSM158826,0.0
GSM158827,0.0
GSM158828,1.0
GSM158829,0.0
GSM158830,0.0
GSM158831,0.0
GSM158832,0.0
GSM158833,1.0
GSM158834,1.0
GSM158835,1.0
GSM158836,1.0
GSM158837,0.0
GSM158838,0.0
GSM158839,1.0
GSM158840,0.0
GSM158841,1.0
GSM158842,0.0
GSM158843,1.0
GSM158844,0.0
GSM158845,1.0
GSM158846,1.0
GSM158847,0.0
GSM158848,0.0
GSM158849,1.0
GSM158850,0.0
GSM158851,1.0
GSM158852,0.0
GSM158853,1.0
GSM158854,1.0
GSM158855,0.0
GSM158856,0.0
GSM158857,0.0
GSM158858,1.0
GSM158859,0.0
GSM158860,0.0
GSM158861,0.0
GSM158862,0.0
GSM158863,1.0
GSM158864,0.0
GSM158865,1.0
GSM158866,1.0
GSM158867,1.0
GSM158868,1.0
GSM158869,1.0
GSM158870,1.0
GSM158871,1.0
GSM158872,0.0
GSM158873,0.0
GSM158874,0.0
GSM158875,1.0
GSM158876,0.0
GSM158877,0.0
GSM158878,1.0
GSM158879,0.0
GSM158880,1.0
GSM158881,0.0
GSM158882,1.0
GSM158883,1.0
GSM158884,0.0
GSM158885,0.0
GSM158886,0.0
GSM158887,1.0
GSM158888,0.0
GSM158889,1.0
GSM158890,1.0
GSM158891,1.0
GSM158892,1.0
GSM158893,1.0
GSM158894,1.0
GSM158895,1.0
GSM158896,1.0
GSM158897,1.0
GSM158898,1.0
GSM158899,1.0
GSM158900,1.0
GSM158901,1.0
GSM158902,1.0
GSM158903,0.0
GSM158904,1.0
GSM158905,1.0
GSM158906,0.0
GSM158907,0.0
GSM158908,0.0
GSM158909,0.0
GSM158910,0.0
GSM158911,0.0
GSM158912,0.0
GSM158913,1.0
GSM158914,0.0
GSM158915,0.0
GSM158916,1.0
GSM158917,0.0
GSM158918,1.0
GSM158919,1.0
GSM158920,1.0
GSM158921,1.0
GSM158922,1.0
GSM158923,0.0
GSM158924,0.0
GSM158925,1.0
GSM158926,1.0
GSM158927,1.0
GSM158928,0.0
GSM158929,1.0
GSM158930,1.0
GSM158931,0.0
GSM158932,1.0
GSM158933,1.0
GSM158934,0.0
GSM158935,0.0
GSM158936,0.0
GSM158937,1.0
GSM158938,1.0
GSM158939,0.0
GSM158940,0.0
GSM158941,0.0
GSM158942,1.0
GSM158943,1.0
GSM158944,0.0
GSM158945,0.0
GSM158946,1.0
GSM158947,0.0
GSM158948,1.0
GSM158949,1.0
GSM158950,1.0
GSM158951,1.0
GSM158952,1.0
GSM158953,0.0
GSM158954,1.0
GSM158955,0.0
GSM158956,0.0
GSM158957,1.0
GSM158958,0.0
GSM158959,1.0
GSM158960,1.0
GSM158961,1.0
GSM158962,1.0
GSM158963,0.0
GSM158964,1.0
GSM158965,1.0
GSM158966,1.0
GSM158967,1.0
GSM158968,0.0
GSM158969,0.0
GSM158970,0.0
GSM158971,1.0
GSM158972,0.0
GSM158973,1.0
GSM158974,0.0
GSM158975,0.0
GSM158976,0.0
GSM158977,1.0
GSM158978,1.0
GSM158979,1.0
GSM158980,1.0
GSM158981,0.0
GSM158982,0.0
GSM158983,1.0
GSM158984,0.0
GSM158985,1.0
GSM158986,1.0
GSM158987,1.0
GSM158988,0.0
GSM158989,1.0
GSM158990,1.0
GSM158991,0.0
GSM158992,0.0
GSM158993,1.0
GSM158994,0.0
GSM158995,0.0
GSM158996,1.0
GSM158997,0.0
GSM158998,0.0
GSM158999,1.0
GSM159000,1.0
GSM159001,1.0
GSM159002,0.0
GSM159003,0.0
GSM159004,0.0
GSM159005,1.0
GSM159006,0.0
GSM159007,0.0
GSM159008,0.0
GSM159009,0.0
GSM159010,1.0
GSM159011,0.0
GSM159012,0.0
GSM159013,1.0
GSM159014,0.0
GSM159015,0.0
GSM159016,0.0
GSM159017,1.0
GSM159018,0.0
GSM159019,1.0
GSM159020,0.0
GSM159021,1.0
GSM159022,1.0
GSM159023,0.0
GSM159024,1.0
GSM159025,1.0
GSM159026,0.0
GSM159027,1.0
GSM159028,1.0
GSM159029,0.0
GSM159030,1.0
GSM159031,1.0
GSM159032,0.0
GSM159033,0.0
GSM159034,1.0
GSM159035,0.0
GSM159036,1.0
GSM159037,0.0
GSM159038,0.0
GSM159039,0.0
GSM159040,1.0
GSM159041,0.0
GSM159042,1.0
GSM159043,1.0
GSM159044,0.0
GSM159045,0.0
GSM159046,0.0
GSM159047,1.0
GSM159048,0.0
GSM159049,0.0
GSM159050,0.0
GSM159051,1.0
GSM159052,1.0
GSM159053,0.0
GSM159054,1.0
GSM159055,0.0
GSM159056,0.0
GSM159057,1.0
GSM159058,1.0
GSM159059,1.0
GSM159060,0.0
GSM159061,1.0
GSM159062,1.0
GSM159063,0.0
GSM159064,1.0
GSM159065,1.0
GSM159066,1.0
GSM159067,0.0
GSM159068,0.0
GSM159069,1.0
GSM159070,0.0
GSM159071,1.0
GSM159072,1.0
GSM159073,0.0
GSM159074,0.0
GSM159075,1.0
GSM159076,0.0
GSM159077,1.0
GSM159078,1.0
GSM159079,1.0
GSM159080,1.0
GSM159081,1.0
GSM159082,1.0
GSM159083,0.0
GSM159084,0.0
GSM159085,0.0
GSM159086,0.0
GSM159087,0.0
GSM159088,1.0
GSM159089,1.0
GSM159090,0.0
GSM159091,1.0
GSM159092,0.0
GSM159093,1.0
GSM159094,1.0
GSM159095,0.0
GSM159096,0.0
GSM159097,1.0
GSM159098,0.0
GSM159099,1.0
GSM159100,1.0
GSM159101,1.0
GSM159102,1.0
GSM159103,1.0
GSM159104,1.0
GSM159105,1.0
GSM159106,1.0
GSM159107,0.0
GSM159108,1.0
GSM159109,1.0
GSM159110,1.0
GSM159111,0.0
GSM159112,1.0
GSM159113,0.0
GSM159115,1.0
GSM159116,0.0
GSM159117,0.0
GSM159118,0.0
GSM159119,1.0
GSM159120,1.0
GSM159121,1.0
GSM159122,0.0
GSM159123,1.0
GSM159124,0.0
GSM159125,0.0
GSM159126,1.0
GSM159127,0.0
GSM159128,1.0
GSM159129,0.0
GSM159130,0.0
GSM159131,1.0
GSM159132,1.0
GSM159133,0.0
GSM159134,0.0
GSM159135,0.0
GSM159136,1.0
GSM159137,0.0
GSM159138,0.0
GSM159139,0.0
GSM159140,1.0
GSM159141,0.0
GSM159142,0.0
GSM159143,1.0
GSM159144,0.0
GSM159145,0.0
GSM159146,0.0
GSM159147,1.0
GSM159148,1.0
GSM159149,0.0
GSM159150,0.0
GSM159151,1.0
GSM159152,0.0
GSM159153,0.0
GSM159154,0.0
GSM159155,0.0
GSM159156,0.0
GSM159157,0.0
GSM159158,0.0
GSM159159,0.0
GSM159160,0.0
GSM159161,1.0
GSM159162,1.0
GSM159163,1.0
GSM159164,0.0
GSM159165,0.0
GSM159166,0.0
GSM159167,1.0
GSM159168,0.0
GSM159169,0.0
GSM159170,0.0
GSM159171,0.0
GSM361321,0.0
GSM361322,0.0
GSM361323,1.0
GSM361324,1.0
GSM361325,1.0
GSM361326,0.0
GSM361327,0.0
GSM361328,1.0
GSM361329,1.0
GSM361330,0.0
GSM361331,1.0
GSM361332,0.0
GSM361333,0.0
GSM361334,1.0
GSM361335,1.0
GSM361336,0.0
GSM361337,1.0
GSM361338,0.0
GSM361339,0.0
GSM361340,1.0
GSM361341,0.0
GSM361342,0.0
GSM361343,1.0
GSM361344,0.0
GSM361345,1.0
GSM361346,1.0
GSM361347,1.0
GSM361348,1.0
GSM361349,0.0
GSM361350,0.0
GSM361351,1.0
GSM361352,0.0
GSM361353,0.0
GSM361354,0.0
GSM361355,1.0
GSM361356,0.0
GSM361357,0.0
GSM361358,1.0
GSM361359,1.0
GSM361360,1.0
GSM361361,1.0
GSM361362,0.0
GSM361363,0.0
GSM361364,1.0
GSM361365,0.0
GSM361366,1.0
GSM361367,1.0
GSM361368,0.0
GSM361369,0.0
GSM361370,0.0
GSM361371,0.0
GSM361372,0.0
GSM361373,1.0
GSM361374,1.0
GSM361375,1.0
GSM361376,1.0
GSM361377,0.0
GSM361378,1.0
GSM361379,0.0
GSM361380,0.0
GSM361381,1.0
GSM361382,0.0
GSM361383,0.0
GSM361384,0.0
GSM361385,1.0
GSM361605,0.0
GSM361606,1.0
GSM361607,1.0
GSM361608,0.0
GSM361609,0.0
GSM361610,0.0
GSM361611,0.0
GSM361612,1.0
GSM361613,0.0
GSM361614,0.0
GSM361615,0.0
GSM361616,1.0
GSM361617,0.0
GSM361618,0.0
GSM361619,0.0
GSM361620,1.0
GSM387066,0.0
GSM387067,1.0
GSM387068,1.0
GSM387069,1.0
GSM387070,1.0
GSM387071,0.0
GSM387072,0.0
GSM387073,1.0
GSM387074,1.0
GSM387075,1.0
GSM387076,1.0
GSM387077,0.0
GSM387078,1.0
GSM387079,0.0
GSM387080,1.0
GSM387081,0.0
GSM387082,0.0
GSM387083,1.0
GSM387084,1.0
GSM387085,1.0
GSM387086,1.0
GSM387087,0.0
GSM387088,0.0
GSM387089,1.0
GSM387090,0.0
GSM387091,0.0
GSM387092,1.0
GSM387093,0.0
GSM387094,0.0
GSM387095,1.0
GSM387096,0.0
GSM387097,0.0
GSM387098,1.0
GSM387099,1.0
GSM387100,1.0
GSM387101,1.0
GSM387102,0.0
GSM387103,1.0
GSM387104,0.0
GSM387105,0.0
GSM387106,1.0
GSM387107,1.0
GSM387108,1.0
GSM387109,0.0
GSM387110,1.0
GSM387111,1.0
GSM387112,1.0
GSM387113,1.0
GSM387114,1.0
GSM387115,1.0
GSM387116,0.0
GSM387117,0.0
GSM387118,1.0
GSM387119,0.0
GSM387120,0.0
GSM387121,0.0
GSM387122,1.0
GSM387123,1.0
GSM387124,1.0
GSM387125,0.0
GSM387126,0.0
GSM387127,0.0
GSM387128,1.0
GSM387129,1.0
GSM387130,1.0
GSM387131,1.0
GSM387132,0.0
GSM387133,0.0
GSM387134,1.0
GSM387135,0.0
GSM387136,1.0
GSM387137,0.0
GSM387138,1.0
GSM387139,1.0
GSM387140,0.0
GSM387141,0.0
GSM387142,1.0
GSM387143,0.0
GSM387144,1.0
GSM387145,1.0
GSM387146,0.0
GSM387147,1.0
GSM387148,1.0
GSM387150,1.0
GSM387151,0.0
GSM387152,0.0
GSM387153,1.0
GSM387154,1.0
GSM387155,1.0
GSM387156,0.0
GSM387157,0.0
GSM387158,0.0
GSM387159,1.0
GSM387160,0.0
GSM387161,0.0
GSM387162,0.0
GSM387163,1.0
GSM387164,1.0
GSM387165,0.0
GSM387166,1.0
GSM387167,1.0
GSM387168,1.0
GSM387169,1.0
GSM387170,0.0
GSM387171,0.0
GSM387172,0.0
GSM387173,1.0
GSM387174,0.0
GSM387175,1.0
GSM387176,1.0
GSM387177,1.0
GSM387178,0.0
GSM387179,0.0
GSM387180,0.0
GSM387181,0.0
GSM387183,1.0
GSM387184,0.0
GSM387185,0.0
GSM387186,0.0
GSM387187,0.0
GSM387188,0.0
GSM387189,0.0
GSM387190,1.0
GSM387192,0.0
GSM387193,0.0
GSM387195,0.0
GSM387196,1.0
GSM387197,0.0
GSM387198,1.0
GSM387200,1.0
GSM387201,1.0
GSM387202,1.0
GSM387203,1.0
GSM387204,0.0
GSM387205,1.0
GSM387206,1.0
GSM387207,0.0
GSM387208,0.0
GSM387209,0.0
GSM387210,1.0
GSM387211,1.0
GSM387212,0.0
GSM387213,0.0
GSM387214,0.0
GSM387215,0.0
GSM387216,0.0
GSM387217,0.0
GSM387218,1.0
GSM387219,1.0
GSM387220,0.0
GSM387221,1.0
GSM387222,1.0
GSM387223,1.0
GSM387224,0.0
GSM387225,0.0
GSM387226,1.0
GSM387227,1.0
GSM387228,1.0
GSM387229,1.0
GSM387230,0.0
GSM387231,0.0
GSM387232,1.0
GSM387233,1.0
GSM387234,0.0
GSM387235,1.0
GSM387236,0.0
GSM387237,0.0
GSM387238,0.0
GSM387239,0.0
GSM387240,0.0
GSM387241,0.0
GSM387243,0.0
GSM387244,1.0
GSM387245,1.0
GSM387246,1.0
GSM387247,0.0
GSM387248,1.0
GSM387250,1.0
GSM387251,0.0
GSM387252,0.0
GSM387253,0.0
GSM387254,0.0
GSM387255,1.0
GSM387256,1.0
GSM387257,1.0
GSM387259,1.0
GSM387260,1.0
GSM387261,1.0
GSM387262,1.0
GSM387263,1.0
GSM387265,1.0
GSM387266,0.0
GSM387267,1.0
GSM387268,1.0
GSM387269,0.0
GSM387270,1.0
GSM387272,1.0
GSM387273,1.0
GSM387274,0.0
GSM387275,0.0
GSM387276,1.0
GSM387277,1.0
GSM387278,0.0
GSM387280,1.0
GSM387281,0.0
GSM387283,1.0
GSM387284,0.0
GSM387285,1.0
GSM387287,1.0
GSM387288,1.0
GSM387290,0.0
GSM387291,0.0
GSM387292,1.0
GSM387293,1.0
GSM387294,1.0
GSM387295,1.0
GSM387296,0.0
GSM387297,1.0
GSM387298,0.0
GSM387299,0.0
GSM387300,0.0
GSM387301,1.0
GSM387302,0.0
GSM387303,1.0
GSM387304,0.0
GSM387305,1.0
GSM387306,1.0
GSM387307,0.0
GSM387308,1.0
GSM387309,1.0
GSM387310,0.0
GSM387060,1.0
GSM387061,1.0
GSM387062,0.0
GSM387063,0.0
GSM387064,1.0
GSM387065,1.0
GSM387149,1.0
GSM387182,0.0
GSM387191,0.0
GSM387194,1.0
GSM387199,0.0
GSM387242,0.0
GSM387249,0.0
GSM387258,0.0
GSM387264,0.0
GSM387271,1.0
GSM387279,0.0
GSM387282,1.0
GSM387286,1.0
GSM387289,1.0
GSM740081,1.0
GSM740083,0.0
GSM740084,0.0
GSM740085,0.0
GSM740086,1.0
GSM740087,0.0
GSM740088,0.0
GSM740089,1.0
GSM740090,0.0
GSM740091,1.0
GSM740080,1.0
GSM740082,1.0
GSM966601,1.0
GSM966603,0.0
GSM966604,1.0
GSM966605,0.0
GSM966606,0.0
GSM966607,1.0
GSM966608,0.0
GSM966609,1.0
GSM966610,1.0
GSM966611,1.0
GSM966612,0.0
GSM966600,1.0
GSM966602,0.0
GSM1138793,0.0
GSM1138796,1.0
GSM1138797,0.0
GSM1138799,1.0
GSM1138800,0.0
GSM1138801,0.0
GSM1138802,1.0
GSM1138803,1.0
GSM1138794,1.0
GSM1138795,1.0
GSM1138798,1.0
GSM1138804,0.0
GSM1682614,0.0
GSM1682615,1.0
GSM1682616,1.0
GSM1682617,1.0
GSM1682618,0.0
GSM1682619,1.0
GSM1682620,0.0
GSM1682621,0.0
GSM1682622,0.0
GSM1682623,0.0
GSM1682624,0.0
GSM1682625,0.0
GSM1682626,0.0
GSM1682627,0.0
GSM1682628,0.0
GSM1682629,1.0
GSM1682630,0.0
GSM1682631,0.0
GSM1682632,1.0
GSM1682633,1.0
GSM1682634,0.0
GSM1682635,1.0
GSM1682636,1.0
GSM1682637,0.0
GSM1682638,0.0
GSM1682639,0.0
GSM1682640,1.0
GSM1682641,0.0
GSM1682642,1.0
GSM1682643,1.0
GSM1682644,1.0
GSM1682645,0.0
GSM1682646,0.0
GSM1682647,0.0
GSM1682648,0.0
GSM1682649,0.0
GSM1682650,1.0
GSM1682651,0.0
GSM1682652,0.0
GSM1682653,1.0
GSM1682654,0.0
GSM1682655,0.0
GSM1682656,1.0
GSM1682657,0.0
GSM1682658,1.0
GSM1682659,1.0
GSM1682660,0.0
GSM1682661,0.0
GSM1682662,1.0
GSM1682663,0.0
GSM1682664,1.0
GSM1682665,0.0
GSM1682666,0.0
GSM1682667,0.0
GSM1682668,1.0
GSM1682669,0.0
GSM1682670,0.0
GSM1682671,0.0
GSM1682672,1.0
GSM1682673,1.0
GSM1682674,0.0
GSM1682675,0.0
GSM1682676,1.0
GSM1682677,0.0
GSM1682678,1.0
GSM1682679,1.0
GSM1682680,1.0
GSM1682681,0.0
GSM1682682,0.0
GSM1682683,1.0
GSM1682684,1.0
GSM1682685,1.0
GSM1682686,0.0
GSM1682687,0.0
GSM1682688,1.0
GSM1682689,0.0
GSM1682690,0.0
GSM1682691,1.0
GSM1682692,0.0
GSM1682693,0.0
GSM1682694,0.0
GSM1682695,1.0
GSM1682696,0.0
GSM1682697,1.0
GSM1682698,1.0
GSM1682699,1.0
GSM1682700,0.0
GSM1682701,0.0
GSM1682702,0.0
GSM1682703,0.0
GSM1682704,0.0
GSM1682705,0.0
GSM1682706,0.0
GSM1682707,1.0
GSM1682708,1.0
GSM1682709,1.0
GSM1682710,1.0
GSM1682711,0.0
GSM1682712,1.0
GSM1682713,0.0
GSM1682714,0.0
GSM1682715,1.0
GSM1682716,0.0
GSM1682717,1.0
GSM1682718,0.0
GSM1682719,0.0
GSM1682720,0.0
GSM1682721,0.0
GSM1682722,1.0
GSM1682723,1.0
GSM1682724,0.0
GSM1682725,0.0
GSM1682726,1.0
GSM1682727,1.0
GSM1682728,0.0
GSM1682729,0.0
GSM1682730,1.0
GSM1682731,1.0
GSM1682732,0.0
GSM1682733,1.0
GSM1682734,0.0
GSM1682735,1.0
GSM1682736,1.0
GSM1682737,0.0
GSM1682738,0.0
GSM1682739,1.0
GSM1682740,1.0
GSM1682741,1.0
GSM1682742,0.0
GSM1682743,0.0
GSM1682744,0.0
GSM1682745,1.0
GSM1682746,0.0
GSM1682747,1.0
GSM1682748,1.0
GSM1682749,1.0
GSM1682750,1.0
GSM1682751,0.0
GSM1682752,0.0
GSM1682753,0.0
GSM1682754,1.0
GSM1682755,1.0
GSM1682756,1.0
GSM1682757,1.0
GSM1682758,0.0
GSM1682759,1.0
GSM1682760,1.0
GSM1682761,0.0
GSM1682762,1.0
GSM1682763,1.0
GSM1682764,0.0
GSM1682765,1.0
GSM1682766,1.0
GSM1682767,1.0
GSM1682768,0.0
GSM1682769,0.0
GSM1682770,0.0
GSM1682771,1.0
GSM1682772,0.0
GSM1682773,1.0
GSM1682774,1.0
GSM1682775,1.0
GSM1682776,0.0
GSM1682777,1.0
GSM1682778,0.0
GSM1682779,1.0
GSM1682780,0.0
GSM1682781,1.0
GSM1682782,0.0
GSM1682783,0.0
GSM1682784,1.0
GSM1682785,1.0
GSM1682786,0.0
GSM1682787,1.0
GSM1682788,1.0
GSM1682789,0.0
GSM1682790,1.0
GSM1682791,0.0
GSM1682792,0.0
GSM1682793,0.0
GSM1682794,0.0
GSM1682795,0.0
GSM1682796,1.0
GSM1703999,0.0
GSM1704000,0.0
GSM1704001,0.0
GSM1704002,0.0
GSM1704003,0.0
GSM1704004,0.0
GSM1704005,0.0
GSM1704006,0.0
GSM1704007,0.0
GSM1704008,0.0
GSM1704009,0.0
GSM1704010,0.0
GSM2232028,0.0
GSM2232029,0.0
GSM2232030,0.0
GSM2232031,1.0
GSM2232032,1.0
GSM2232033,0.0
GSM2232034,0.0
GSM2232035,0.0
GSM2232036,0.0
GSM2232037,1.0
GSM2232038,0.0
GSM2232039,0.0
GSM2232046,0.0
GSM2232047,1.0
GSM2232049,0.0
GSM2232050,0.0
GSM2232051,0.0
GSM2232052,1.0
GSM2232057,1.0
GSM2232059,1.0
GSM2232060,0.0
GSM2232061,1.0
GSM2232067,0.0
GSM2232070,1.0
GSM2232072,1.0
GSM2232040,0.0
GSM2232041,1.0
GSM2232042,1.0
GSM2232043,0.0
GSM2232044,0.0
GSM2232045,1.0
GSM2232048,0.0
GSM2232053,1.0
GSM2232054,0.0
GSM2232055,1.0
GSM2232056,0.0
GSM2232058,0.0
GSM2232062,0.0
GSM2232063,0.0
GSM2232064,0.0
